18774203;993878;8401;5985;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;07.06.2022 05:42;07.06.2022;09.09.9999;2022-06-07 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;242;NULL;NULL
18774759;156659;5521;8401;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18774819;2390;5521;4784;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18774879;264998;5521;5985;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;07.06.2022 05:42;07.06.2022;09.09.9999;2022-06-07 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;242;NULL;NULL
18774939;219759;9410;9410;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;07.06.2022 05:42;07.06.2022;09.09.9999;2022-06-07 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;242;NULL;NULL
18775174;5771;2568;3624;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18775234;417425;8141;4683;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18775556;945551;2083;1363;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18775565;47821;10901;10873;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18775625;804613;11364;4566;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;07.06.2022 05:42;07.06.2022;09.09.9999;2022-06-07 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;242;NULL;NULL
18776591;791042;5521;8401;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18776651;928089;4322;4322;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18776711;783628;11364;932;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18776777;928090;1363;4322;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18777313;14586;4784;4325;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18777420;47551;10753;10953;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18777633;964954;2568;2616;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
18777652;3293;5985;3835;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;07.06.2022 05:42;07.06.2022;09.09.9999;2022-06-07 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;242;NULL;NULL
18777693;2794;5521;8401;1900-01-01 00:00:00.000000;9999-09-09 23:59:59.999999;06.06.2022 18:32;06.06.2022;09.09.9999;2022-06-06 00:00:00.000000;9999-09-09 23:59:59.999999;0;100;idmref_cosma_200_07_tx_flight_seg;240;NULL;NULL
